Company type,Public
Traded as,TSX: BRMI
Industry,"Media
Entertainment"
Founded,2003; 21 years ago
Founders,"David Fortier
Ivan Schneeberg"
Headquarters,"Toronto, Ontario, Canada"
Key people,John Young (CEO)
Owner,Fairfax Financial (51%)
Divisions,Boat Rocker Studios
Subsidiaries,"Matador Content
Jam Filled Entertainment
Insight Productions
Proper Television"
Website,www.boatrocker.com
