Company type,Subsidiary
Industry,"Film production
Television syndication and production"
Predecessors,"Bing Crosby Productions
Television Program Enterprises
Rysher Entertainment
Lakeshore Entertainment
Qualia Libraries Co."
Founded,1991; 33 years ago
Founder,Keith Samples
Headquarters,"New York, United States"
Owner,Village Roadshow Pictures
Subsidiaries,Lakeshore Village Entertainment
Website,vinealternativeinvestments.com
