Company type,Private
Industry,Television
Genre,Entertainment
Founded,"April 10, 1992; 32 years ago in Hyderabad, India"
Founder,Shyam Prasad Reddy
Headquarters,"Hyderabad, Telangana, India"
Area served,India
Key people,M Deepthi Reddy
Products,"TV shows
Film production"
Subsidiaries,M. S. Art Movies (1988–1991)
