Model name,First flight,Number built,Type
Seedwings Europe Kestrel,mid-2000s,,hang glider
Seedwings Europe Merlin,mid-2000s,,hang glider
Seedwings Europe Vertigo,mid-2000s,,hang glider
Seedwings Europe Funky,mid-2010s,,hang glider
Seedwings Europe Space,mid-2010s,,hang glider
Seedwings Europe Skyrunner XR,mid-2010s,,hang glider
Seedwings Europe Skyrunner XRS,mid-2010s,,hang glider
Seedwings Europe Crossover XC,mid-2010s,,hang glider
Seedwings Europe Crossover XCS,mid-2010s,,hang glider
