Company type,Subsidiary
Industry,Automotive
Predecessor,"Hyundai Indonesia Motor
Hyundai Mobil Indonesia"
Founded,2019
Headquarters,"Cikarang, Bekasi Regency, West Java (Plant), Indonesia"
Area served,Indonesia
Key people,"President Director:
Choi Yoon Seok (2019–2022)
Lee Bong Kyu (2022–present)"
Number of employees,2
Parent,Hyundai Motor Company
