Company type,Limited Liability Company
Industry,Film
Genre,Various
Founded,2009
Founder,"Jeffrey Weiner
Ben Smith"
Headquarters,"Universal City, California, United States"
Key people,"Jeffrey Weiner(CEO)[1]
Ben Smith(President)[1][2]"
Products,Films
