Company type,Private
Industry,"Motion pictures
Television
Entertainment"
Founded,1996
Founder,"Mark Duplass
Jay Duplass"
Headquarters,"Los Angeles, U.S."
Key people,"Mark Duplass
Jay Duplass
Mel Eslyn"
Products,"Film
Television"
Website,duplassbrothers.com
