Company type,Subsidiary
Industry,Agricultural machinery
Founded,1963
Founder,"Peter Pakosh, Roy Robinson"
Headquarters,"1260 Clarence Avenue, Winnipeg, Manitoba, Canada"
Products,"Tractors, Tillage Implements"
Parent,Basak Traktor
