Company type,Private
Industry,Entertainment industry
Founded,"Shanghai, China (2011)"
Founder,"Wei Han, CEO & President, Film Producer"
Headquarters,"Shanghai, China"
Number of locations,"2
(with office also in Los Angeles, California, United States"
Products,Motion pictures
Website,blissmedialtd.com
Divisions,Boat Rocker Studios
Subsidiaries,"Matador Content
Jam Filled Entertainment
Insight Productions
Proper Television"
Website,www.boatrocker.com
